method,native,pdb,seed,id,dockq_score,fnat,lrmsd,irmsd
msa_notemplate,1a0n,1a0n,44,2,0.741,0.826,3.187,1.442
msa_notemplate,1cqg,1cqg,42,2,0.668,0.857,4.198,2.081
msa_notemplate,1czy,1czy,43,1,0.946,0.909,1.031,0.372
msa_notemplate,1a0n,1a0n,42,3,0.625,0.739,4.81,1.922
msa_notemplate,1cqg,1cqg,43,3,0.49,0.75,7.552,3.415
msa_notemplate,1a0n,1a0n,44,4,0.682,0.783,3.562,1.786
msa_notemplate,1cqg,1cqg,44,4,0.705,0.893,3.721,1.9
msa_notemplate,1a0n,1a0n,43,2,0.653,0.826,4.364,2.088
msa_notemplate,1a0n,1a0n,43,0,0.698,0.826,3.678,1.743
msa_notemplate,1cqg,1cqg,44,2,0.601,0.929,6.303,2.751
msa_notemplate,1a0n,1a0n,44,1,0.661,0.826,4.551,1.917
msa_notemplate,1cqg,1cqg,42,1,0.58,0.821,5.676,2.765
msa_notemplate,1cqg,1cqg,43,2,0.633,0.893,5.101,2.462
msa_notemplate,1cqg,1cqg,44,1,0.616,0.786,4.784,2.277
msa_notemplate,1a0n,1a0n,43,3,0.679,0.783,3.725,1.778
msa_notemplate,1a0n,1a0n,44,0,0.643,0.783,4.215,2.073
msa_notemplate,1cqg,1cqg,44,3,0.534,0.786,6.818,2.919
msa_notemplate,1czy,1czy,42,2,0.98,0.977,0.551,0.278
msa_notemplate,1a0n,1a0n,42,2,0.718,0.783,3.01,1.552
msa_notemplate,1a0n,1a0n,43,1,0.753,0.783,2.409,1.351
msa_notemplate,1a0n,1a0n,44,3,0.706,0.826,3.594,1.679
msa_notemplate,1cqg,1cqg,42,0,0.604,0.786,4.941,2.411
msa_notemplate,1a0n,1a0n,42,1,0.631,0.783,4.198,2.26
msa_notemplate,1a0n,1a0n,42,0,0.733,0.826,3.0,1.551
msa_notemplate,1a0n,1a0n,43,4,0.666,0.783,3.704,1.937
msa_notemplate,1cqg,1cqg,43,4,0.664,0.893,4.46,2.212
msa_notemplate,1czy,1czy,42,0,0.958,0.932,0.89,0.334
msa_notemplate,1czy,1czy,42,3,0.952,0.909,0.774,0.327
msa_notemplate,1czy,1czy,43,0,0.929,0.886,1.148,0.45
msa_notemplate,1czy,1czy,43,3,0.792,0.773,2.846,0.972
msa_notemplate,1a0n,1a0n,42,4,0.729,0.783,2.825,1.485
msa_notemplate,1cqg,1cqg,42,3,0.577,0.857,6.239,2.785
msa_notemplate,1cqg,1cqg,42,4,0.545,0.821,6.581,3.128
msa_notemplate,1cqg,1cqg,43,0,0.708,0.821,3.204,1.742
msa_notemplate,1czy,1czy,42,1,0.955,0.909,0.63,0.303
msa_notemplate,1czy,1czy,43,2,0.977,0.977,0.615,0.308
msa_notemplate,1czy,1czy,43,4,0.955,0.932,0.783,0.373
msa_notemplate,1cqg,1cqg,44,0,0.598,0.786,5.116,2.44
msa_notemplate,1czy,1czy,42,4,0.808,0.795,2.76,0.926
msa_notemplate,1cqg,1cqg,43,1,0.721,0.857,3.203,1.721
msa_notemplate,1czy,1czy,44,4,0.824,0.841,2.715,0.93
msa_notemplate,1czy,1czy,44,3,0.952,0.909,0.777,0.325
msa_notemplate,1czy,1czy,44,2,0.966,0.955,0.796,0.336
msa_notemplate,1czy,1czy,44,0,0.965,0.932,0.562,0.271
msa_notemplate,1czy,1czy,44,1,0.964,0.955,0.868,0.35
msa_notemplate,1ddv,1ddv,43,1,0.97,1.0,0.958,0.43
msa_notemplate,1ddv,1ddv,42,1,0.94,1.0,1.608,0.616
msa_notemplate,1eg4,1eg4,43,0,0.734,0.875,3.534,1.581
msa_notemplate,1ddv,1ddv,42,0,0.932,1.0,1.761,0.662
msa_notemplate,1eg4,1eg4,44,1,0.632,0.844,5.156,2.187
msa_notemplate,1eg4,1eg4,43,4,0.594,0.812,5.637,2.439
msa_notemplate,1eg4,1eg4,44,4,0.575,0.781,5.842,2.5
msa_notemplate,1ddv,1ddv,44,1,0.583,0.625,5.472,1.778
msa_notemplate,1eg4,1eg4,42,3,0.573,0.812,6.137,2.601
msa_notemplate,1f47,1f47,42,3,0.938,1.0,1.661,0.625
msa_notemplate,1f47,1f47,42,4,0.861,0.875,1.997,0.84
