complex,seed,id,pep_plDDT,plDDT,ipTM,pTM,pep_pTM,pAE_min,ipAE,ranking_score,scRMSD
1a0n,42,0,83.9685,90.7219,0.6800,0.7700,0.0200,1.1500,1.1600,0.8000,2.8928
1a0n,42,1,81.3840,87.4246,0.6600,0.7400,0.0200,1.2700,1.2850,0.7700,4.1193
1a0n,42,2,84.7401,89.5431,0.7200,0.7700,0.0200,1.1900,1.1900,0.8300,3.0616
1a0n,42,3,80.7439,88.8474,0.6300,0.7400,0.0200,1.2500,1.2750,0.7500,4.9126
1a0n,42,4,83.7966,88.8607,0.7000,0.7600,0.0200,1.1900,1.2000,0.8100,2.7755
1a0n,43,0,83.3285,90.3427,0.6900,0.7800,0.0200,1.1700,1.2000,0.8000,3.8006
1a0n,43,1,84.3401,88.7772,0.7000,0.7600,0.0200,1.1700,1.1750,0.8100,2.4190
1a0n,43,2,85.9028,91.7648,0.7400,0.8100,0.0200,1.0800,1.1100,0.8500,4.5236
1a0n,43,3,82.6431,89.5901,0.6600,0.7600,0.0200,1.2200,1.2200,0.7800,3.6715
1a0n,43,4,79.8333,87.9434,0.6400,0.7400,0.0200,1.2600,1.3000,0.7600,3.7052
1a0n,44,0,80.8737,87.1612,0.6300,0.7200,0.0200,1.2800,1.3150,0.7400,4.3695
1a0n,44,1,80.8724,87.6325,0.6400,0.7300,0.0200,1.3200,1.3200,0.7600,5.1030
1a0n,44,2,83.3464,89.4040,0.7000,0.7700,0.0200,1.1800,1.1900,0.8100,3.1213
1a0n,44,3,84.9810,92.3470,0.7100,0.8000,0.0200,1.1200,1.1400,0.8200,3.6272
1a0n,44,4,86.3253,91.0635,0.7500,0.7900,0.0200,1.1200,1.1300,0.8600,3.6043
1cqg,42,0,68.0030,90.3608,0.5600,0.8400,0.0100,1.6900,2.2100,0.6700,4.9302
1cqg,42,1,68.8276,91.5737,0.5500,0.8600,0.0100,1.6800,2.1200,0.6600,5.7334
1cqg,42,2,67.7852,91.1335,0.5400,0.8500,0.0100,1.6400,2.0700,0.6600,4.1096
1cqg,42,3,63.4883,89.8406,0.5000,0.8500,0.0100,1.7500,2.2400,0.6300,6.2989
1cqg,42,4,66.8265,90.5317,0.5300,0.8500,0.0100,1.7300,2.1650,0.6500,6.5194
1cqg,43,0,71.1391,91.8937,0.5800,0.8700,0.0100,1.5900,1.9350,0.6900,3.1861
1cqg,43,1,64.9614,90.5279,0.4900,0.8500,0.0100,1.9700,2.4000,0.6200,3.1581
1cqg,43,2,67.9174,91.9118,0.5300,0.8700,0.0100,1.6800,2.1450,0.6600,5.1199
1cqg,43,3,64.5610,89.4671,0.4800,0.8500,0.0100,2.3200,2.9450,0.6100,7.5274
1cqg,43,4,68.6719,91.7783,0.5600,0.8700,0.0100,1.6300,2.0400,0.6800,4.4796
1cqg,44,0,63.0662,89.9948,0.4800,0.8400,0.0100,2.0100,2.6050,0.6100,4.9716
1cqg,44,1,61.5262,89.4910,0.4300,0.8400,0.0100,2.3400,2.8650,0.5600,4.8942
1cqg,44,2,64.9496,89.0920,0.5100,0.8300,0.0100,1.8300,2.2750,0.6300,6.3269
1cqg,44,3,59.3271,88.9817,0.4200,0.8400,0.0100,2.3500,3.1250,0.5600,6.6151
1cqg,44,4,72.2220,92.2765,0.5800,0.8700,0.0100,1.6500,2.1600,0.7000,4.0178
1czy,42,0,79.3320,94.6019,0.8200,0.9200,0.0300,1.0800,1.1400,0.8800,2.3076
1czy,42,1,84.4506,94.8110,0.8700,0.9200,0.0300,0.9900,1.0400,0.9000,0.6376
1czy,42,2,85.1204,94.7863,0.8700,0.9200,0.0300,1.0200,1.0800,0.9000,0.5494
1czy,42,3,85.8815,94.9135,0.8800,0.9200,0.0300,0.9600,1.0100,0.9100,0.7155
