method,native,pdb,seed,id,dockq_score,fnat,lrmsd,irmsd
nomsa_template,1a0n,1a0n,43,0,0.565,0.783,6.351,2.464
nomsa_template,1a0n,1a0n,42,3,0.546,0.783,6.786,2.641
nomsa_template,1a0n,1a0n,42,0,0.531,0.783,7.145,2.788
nomsa_template,1a0n,1a0n,42,1,0.551,0.783,6.631,2.599
nomsa_template,1a0n,1a0n,42,4,0.572,0.783,6.188,2.412
nomsa_template,1a0n,1a0n,43,3,0.671,0.783,3.978,1.795
nomsa_template,1a0n,1a0n,42,2,0.621,0.783,5.093,2.07
nomsa_template,1a0n,1a0n,44,0,0.642,0.783,4.818,1.896
nomsa_template,1a0n,1a0n,43,1,0.711,0.783,3.493,1.513
nomsa_template,1a0n,1a0n,43,2,0.646,0.783,4.747,1.865
nomsa_template,1a0n,1a0n,43,4,0.607,0.783,5.47,2.124
nomsa_template,1a0n,1a0n,44,1,0.555,0.783,6.445,2.622
nomsa_template,1a0n,1a0n,44,2,0.72,0.826,3.881,1.48
nomsa_template,1a0n,1a0n,44,4,0.59,0.783,5.913,2.225
nomsa_template,1a0n,1a0n,44,3,0.568,0.783,6.238,2.462
nomsa_template,1cqg,1cqg,43,0,0.71,0.786,2.97,1.652
nomsa_template,1cqg,1cqg,42,0,0.673,0.821,4.063,1.901
nomsa_template,1cqg,1cqg,43,1,0.614,0.821,4.935,2.456
nomsa_template,1cqg,1cqg,42,2,0.584,0.893,6.304,2.878
nomsa_template,1cqg,1cqg,42,1,0.569,0.821,5.938,2.868
nomsa_template,1cqg,1cqg,42,3,0.591,0.857,5.889,2.672
nomsa_template,1cqg,1cqg,44,2,0.623,0.964,5.972,2.709
nomsa_template,1cqg,1cqg,44,1,0.625,0.893,5.336,2.499
nomsa_template,1cqg,1cqg,44,0,0.623,0.821,4.777,2.361
nomsa_template,1cqg,1cqg,42,4,0.59,0.786,5.292,2.508
nomsa_template,1cqg,1cqg,43,4,0.737,0.893,3.333,1.657
nomsa_template,1cqg,1cqg,43,2,0.636,0.893,4.979,2.47
nomsa_template,1cqg,1cqg,43,3,0.558,0.821,6.345,2.904
nomsa_template,1cqg,1cqg,44,3,0.529,0.821,7.434,3.002
nomsa_template,1cqg,1cqg,44,4,0.601,0.821,5.275,2.533
nomsa_template,1czy,1czy,43,0,0.731,0.773,3.749,1.267
nomsa_template,1czy,1czy,42,1,0.948,0.909,0.7,0.376
nomsa_template,1czy,1czy,42,3,0.919,0.818,0.704,0.356
nomsa_template,1czy,1czy,42,0,0.816,0.773,2.46,0.86
nomsa_template,1czy,1czy,42,4,0.783,0.75,2.86,0.978
nomsa_template,1czy,1czy,43,1,0.867,0.841,2.008,0.72
nomsa_template,1czy,1czy,43,3,0.801,0.773,2.715,0.928
nomsa_template,1czy,1czy,42,2,0.857,0.818,2.05,0.73
nomsa_template,1czy,1czy,43,2,0.957,0.932,0.659,0.364
nomsa_template,1czy,1czy,44,0,0.963,0.932,0.546,0.302
nomsa_template,1czy,1czy,44,3,0.807,0.773,2.618,0.901
nomsa_template,1ddv,1ddv,42,3,0.672,0.688,4.066,1.456
nomsa_template,1czy,1czy,44,1,0.766,0.75,3.126,1.059
nomsa_template,1czy,1czy,44,2,0.895,0.864,1.588,0.616
nomsa_template,1czy,1czy,43,4,0.917,0.864,1.107,0.489
nomsa_template,1czy,1czy,44,4,0.834,0.818,2.436,0.843
nomsa_template,1ddv,1ddv,42,4,0.944,1.0,1.497,0.603
nomsa_template,1ddv,1ddv,42,1,0.774,0.75,2.844,1.048
nomsa_template,1ddv,1ddv,44,0,0.836,0.875,2.513,0.95
nomsa_template,1ddv,1ddv,43,4,0.82,0.875,2.802,1.023
nomsa_template,1ddv,1ddv,43,2,0.731,0.688,3.166,1.159
nomsa_template,1ddv,1ddv,43,1,0.954,0.938,0.779,0.399
nomsa_template,1ddv,1ddv,43,0,0.976,1.0,0.858,0.386
nomsa_template,1ddv,1ddv,42,2,0.843,0.875,2.442,0.91
nomsa_template,1ddv,1ddv,43,3,0.929,1.0,1.787,0.677
