complex,seed,id,pep_plDDT,plDDT,ipTM,pTM,pep_pTM,pAE_min,ipAE,ranking_score,scRMSD
1a0n,42,0,84.9090,93.4800,0.7300,0.8600,0.0200,1.0300,1.0700,0.8500,7.1451
1a0n,42,1,83.9043,92.8491,0.7000,0.8400,0.0200,1.5300,1.5950,0.8200,6.6309
1a0n,42,2,83.3936,92.9563,0.7000,0.8400,0.0200,1.1800,1.2400,0.8300,5.0926
1a0n,42,3,84.6325,93.3206,0.7300,0.8500,0.0200,1.0300,1.0800,0.8500,6.7859
1a0n,42,4,86.6443,94.1678,0.7600,0.8700,0.0200,1.0500,1.0700,0.8800,6.1877
1a0n,43,0,82.0242,92.4109,0.6500,0.8300,0.0200,1.8200,1.9550,0.7900,6.3508
1a0n,43,1,83.3877,90.6592,0.6900,0.8100,0.0200,1.0700,1.1000,0.8100,3.4928
1a0n,43,2,84.5600,92.5874,0.7400,0.8500,0.0200,1.0200,1.0500,0.8600,4.7466
1a0n,43,3,80.8756,91.1331,0.6600,0.8200,0.0200,1.3200,1.3750,0.7900,3.9784
1a0n,43,4,84.7891,93.3636,0.7200,0.8500,0.0200,1.1700,1.1950,0.8400,5.4702
1a0n,44,0,85.2064,91.8326,0.7600,0.8400,0.0200,1.0200,1.0450,0.8800,4.8179
1a0n,44,1,85.4839,93.2843,0.7400,0.8500,0.0200,1.0200,1.0250,0.8600,6.4454
1a0n,44,2,85.7565,93.5167,0.7600,0.8600,0.0200,1.1100,1.1150,0.8800,3.8806
1a0n,44,3,83.7073,93.0579,0.7100,0.8500,0.0200,1.2200,1.3000,0.8400,6.2378
1a0n,44,4,81.9756,92.1759,0.6700,0.8300,0.0200,1.5800,1.6350,0.8000,5.9129
1cqg,42,0,59.2647,88.9955,0.4300,0.8500,0.0100,2.1800,2.8100,0.5600,4.0633
1cqg,42,1,55.1580,87.5701,0.3600,0.8300,0.0100,2.6100,3.2800,0.5100,5.9384
1cqg,42,2,69.3761,90.4300,0.5400,0.8600,0.0100,2.0100,2.3750,0.6600,6.3039
1cqg,42,3,56.5099,87.2171,0.3700,0.8300,0.0100,2.4600,3.1050,0.5200,5.8891
1cqg,42,4,57.9828,88.8226,0.4100,0.8500,0.0100,2.0200,2.6550,0.5600,5.2915
1cqg,43,0,61.1304,88.5996,0.4600,0.8500,0.0100,1.9100,2.4100,0.5900,2.9697
1cqg,43,1,58.3588,88.7043,0.3700,0.8400,0.0100,2.6300,3.0900,0.5200,4.9353
1cqg,43,2,58.2330,89.4304,0.3800,0.8500,0.0100,2.3200,3.0100,0.5300,4.9794
1cqg,43,3,58.6594,88.3025,0.4200,0.8500,0.0100,2.2700,2.9300,0.5600,6.3452
1cqg,43,4,55.1261,87.0825,0.4000,0.8300,0.0100,2.4300,3.0700,0.5400,3.3331
1cqg,44,0,58.5276,87.9786,0.4000,0.8400,0.0100,2.4200,3.1100,0.5400,4.7766
1cqg,44,1,56.1355,86.8846,0.3400,0.8300,0.0100,2.8500,3.3950,0.4900,5.3362
1cqg,44,2,58.4713,87.0637,0.4500,0.8400,0.0100,2.1100,2.5150,0.5900,5.9716
1cqg,44,3,54.6385,86.5201,0.3200,0.8200,0.0100,2.9500,3.6250,0.4800,7.4341
1cqg,44,4,61.5295,89.7410,0.4100,0.8500,0.0100,2.3300,2.8300,0.5500,5.2750
1czy,42,0,76.5467,91.4407,0.8300,0.8900,0.0300,1.2200,1.2850,0.8700,2.4600
1czy,42,1,79.6091,91.9592,0.8500,0.9000,0.0300,1.1600,1.2450,0.8900,0.7003
1czy,42,2,77.9065,91.6079,0.8400,0.8900,0.0300,1.1900,1.2650,0.8800,2.0501
1czy,42,3,81.3126,92.3629,0.8600,0.9000,0.0300,1.1200,1.2100,0.9000,0.7045
1czy,42,4,76.6450,91.8944,0.8300,0.9000,0.0300,1.2500,1.3300,0.8700,2.8601
1czy,43,0,78.9106,91.7471,0.8500,0.9000,0.0300,1.1700,1.2650,0.8900,3.7490
1czy,43,1,78.6161,91.6185,0.8500,0.9000,0.0300,1.1900,1.2700,0.8900,2.0081
1czy,43,2,81.7731,92.1343,0.8700,0.9000,0.0300,1.1300,1.2000,0.9100,0.6592
1czy,43,3,78.0398,91.8426,0.8400,0.9000,0.0300,1.2000,1.3000,0.8900,2.7148
1czy,43,4,79.7233,91.8923,0.8500,0.8900,0.0300,1.1500,1.2500,0.9000,1.1068
1czy,44,0,82.3187,92.5554,0.8800,0.9000,0.0300,1.0800,1.1550,0.9100,0.5461
1czy,44,1,76.7691,91.4297,0.8300,0.8900,0.0300,1.2100,1.2850,0.8700,3.1263
1czy,44,2,79.9998,92.2405,0.8500,0.9000,0.0300,1.1200,1.2250,0.9000,1.5882
1czy,44,3,78.0037,91.0699,0.8400,0.8900,0.0300,1.1900,1.2550,0.8700,2.6179
