complex,seed,id,ipSAE_max,ipSAE_min
1a0n,42,0,0.533917,0.214923
1a0n,42,1,0.450558,0.177321
1a0n,42,2,0.533456,0.23014
1a0n,42,3,0.478857,0.171775
1a0n,42,4,0.502022,0.201203
1a0n,43,0,0.49486,0.204477
1a0n,43,1,0.539207,0.219563
1a0n,43,2,0.557096,0.274467
1a0n,43,3,0.513942,0.200143
1a0n,43,4,0.474431,0.180174
1a0n,44,0,0.469084,0.177529
1a0n,44,1,0.477299,0.182275
1a0n,44,2,0.525435,0.225033
1a0n,44,3,0.545481,0.224757
1a0n,44,4,0.541797,0.250065
1cqg,42,0,0.201609,0.061082
1cqg,42,1,0.168144,0.053315
1cqg,42,2,0.229693,0.061829
1cqg,42,3,0.118663,0.051182
1cqg,42,4,0.189108,0.054595
1cqg,43,0,0.257519,0.066069
1cqg,43,1,0.117109,0.045907
1cqg,43,2,0.176289,0.056107
1cqg,43,3,0.089619,0.043262
1cqg,43,4,0.19959,0.063791
1cqg,44,0,0.064012,0.042511
1cqg,44,1,0.06194,0.042436
1cqg,44,2,0.152437,0.050639
1cqg,44,3,0.034069,0.020607
1cqg,44,4,0.269387,0.071192
1czy,42,0,0.81403,0.342604
1czy,42,1,0.81964,0.343453
1czy,42,2,0.817084,0.347034
1czy,42,3,0.840278,0.363283
1czy,42,4,0.792982,0.312939
1czy,43,0,0.818044,0.330225
1czy,43,1,0.812746,0.340598
1czy,43,2,0.819847,0.35247
1czy,43,3,0.792969,0.310931
1czy,43,4,0.813158,0.335516
1czy,44,0,0.834517,0.353111
1czy,44,1,0.832347,0.365022
1czy,44,2,0.822984,0.344905
1czy,44,3,0.818316,0.347449
1czy,44,4,0.812142,0.338176
1ddv,42,0,0.049044,0.031462
1ddv,42,1,0.050779,0.018283
1ddv,42,2,0.057251,0.039449
1ddv,42,3,0.047922,0.041595
1ddv,42,4,0.05679,0.037921
1ddv,43,0,0.052702,0.030536
1ddv,43,1,0.046293,0.019455
1ddv,43,2,0.055122,0.038743
1ddv,43,3,0.041526,0.017063
1ddv,43,4,0.042346,0.018962
1ddv,44,0,0.053119,0.023676
1ddv,44,1,0.082956,0.047296
1ddv,44,2,0.169346,0.072963
1ddv,44,3,0.057467,0.049982
1ddv,44,4,0.046448,0.018982
1eg4,42,0,0.744408,0.222254
1eg4,42,1,0.738658,0.214628
1eg4,42,2,0.758391,0.238109
1eg4,42,3,0.754668,0.239692
1eg4,42,4,0.727217,0.216915
1eg4,43,0,0.754703,0.241506
1eg4,43,1,0.724165,0.204805
1eg4,43,2,0.743215,0.223488
1eg4,43,3,0.733351,0.213171
1eg4,43,4,0.782396,0.270702
1eg4,44,0,0.714954,0.194796
1eg4,44,1,0.725988,0.194136
1eg4,44,2,0.742914,0.223798
1eg4,44,3,0.746767,0.233793
1eg4,44,4,0.74915,0.234524
1f47,42,0,0.759818,0.229996
1f47,42,1,0.777413,0.270284
1f47,42,2,0.808768,0.28421
1f47,42,3,0.773253,0.254047
1f47,42,4,0.810572,0.295097
1f47,43,0,0.773153,0.240187
1f47,43,1,0.789409,0.288804
1f47,43,2,0.781712,0.247698
1f47,43,3,0.753336,0.212774
1f47,43,4,0.784378,0.257945
1f47,44,0,0.81471,0.29921
1f47,44,1,0.79198,0.282524
1f47,44,2,0.776964,0.257314
1f47,44,3,0.768025,0.249934
1f47,44,4,0.751371,0.232602
1f8h,42,0,0.439773,0.191368
1f8h,42,1,0.435602,0.193783
1f8h,42,2,0.433289,0.189253
1f8h,42,3,0.430958,0.186007
1f8h,42,4,0.420195,0.196761
1f8h,43,0,0.436782,0.202947
1f8h,43,1,0.426841,0.188134
1f8h,43,2,0.421123,0.184182
1f8h,43,3,0.410035,0.189976
1f8h,43,4,0.404991,0.178012
1f8h,44,0,0.422503,0.197104
1f8h,44,1,0.413358,0.18259
1f8h,44,2,0.433414,0.19857
1f8h,44,3,0.39941,0.194641
1f8h,44,4,0.430275,0.193225
1j2x,42,0,0.836301,0.444202
1j2x,42,1,0.834415,0.449081
1j2x,42,2,0.782417,0.406068
1j2x,42,3,0.841315,0.467953
1j2x,42,4,0.793753,0.417128
1j2x,43,0,0.80501,0.409638
1j2x,43,1,0.81342,0.406959
1j2x,43,2,0.824986,0.436776
1j2x,43,3,0.833448,0.454092
1j2x,43,4,0.838021,0.433747
1j2x,44,0,0.841301,0.464955
1j2x,44,1,0.825751,0.419882
1j2x,44,2,0.807841,0.423682
1j2x,44,3,0.806441,0.434843
1j2x,44,4,0.83066,0.442874
1jd5,42,0,0.845468,0.509991
1jd5,42,1,0.865796,0.541832
