complex,seed,id,pep_plDDT,plDDT,ipTM,pTM,pep_pTM,pAE_min,ipAE,ranking_score,scRMSD
1a0n,42,0,83.8906,90.9424,0.6800,0.7700,0.0200,1.1500,1.1600,0.8000,3.0001
1a0n,42,1,80.0481,87.8296,0.6300,0.7300,0.0200,1.2800,1.3200,0.7500,4.1981
1a0n,42,2,84.4237,89.7786,0.7100,0.7600,0.0200,1.1800,1.1900,0.8100,3.0099
1a0n,42,3,80.8103,89.3541,0.6300,0.7500,0.0200,1.2400,1.2700,0.7500,4.8102
1a0n,42,4,82.8694,88.1949,0.6700,0.7400,0.0200,1.2300,1.2550,0.7800,2.8250
1a0n,43,0,82.1471,90.1949,0.6700,0.7700,0.0200,1.2100,1.2650,0.7800,3.6777
1a0n,43,1,83.9388,88.9548,0.6900,0.7500,0.0200,1.1900,1.1950,0.8000,2.4087
1a0n,43,2,84.9340,91.4120,0.7400,0.8000,0.0200,1.1100,1.1550,0.8500,4.3644
1a0n,43,3,82.3254,89.4883,0.6500,0.7500,0.0200,1.2200,1.2350,0.7700,3.7254
1a0n,43,4,79.4014,88.1219,0.6300,0.7400,0.0200,1.2400,1.2850,0.7500,3.7043
1a0n,44,0,80.0127,87.4129,0.6200,0.7200,0.0200,1.3000,1.3200,0.7400,4.2146
1a0n,44,1,82.6553,88.1699,0.6600,0.7300,0.0200,1.2800,1.3250,0.7700,4.5506
1a0n,44,2,82.9985,89.4947,0.7000,0.7700,0.0200,1.1700,1.1850,0.8100,3.1875
1a0n,44,3,84.2049,92.0067,0.6900,0.7800,0.0200,1.1500,1.1650,0.8100,3.5938
1a0n,44,4,85.4786,90.2211,0.7300,0.7800,0.0200,1.2000,1.2000,0.8400,3.5623
1cqg,42,0,67.4479,90.2523,0.5600,0.8400,0.0100,1.6800,2.2200,0.6700,4.9413
1cqg,42,1,67.2891,91.4054,0.5300,0.8600,0.0100,1.7100,2.1900,0.6500,5.6758
1cqg,42,2,68.3056,91.0001,0.5500,0.8500,0.0100,1.6100,2.0100,0.6600,4.1983
1cqg,42,3,63.6119,89.9653,0.5100,0.8500,0.0100,1.7500,2.2450,0.6300,6.2387
1cqg,42,4,67.0857,90.6774,0.5300,0.8500,0.0100,1.7000,2.1200,0.6500,6.5815
1cqg,43,0,70.2030,91.6581,0.5800,0.8700,0.0100,1.6100,1.9600,0.6900,3.2036
1cqg,43,1,64.6357,90.5505,0.5000,0.8500,0.0100,1.9200,2.3700,0.6200,3.2027
1cqg,43,2,66.3272,91.6350,0.5200,0.8700,0.0100,1.7600,2.2250,0.6500,5.1014
1cqg,43,3,64.1612,89.4256,0.4900,0.8500,0.0100,2.2500,2.8450,0.6200,7.5523
1cqg,43,4,66.9321,91.5258,0.5500,0.8700,0.0100,1.6600,2.0950,0.6600,4.4599
1cqg,44,0,61.0541,89.5670,0.4600,0.8400,0.0100,2.0700,2.7200,0.5900,5.1164
1cqg,44,1,62.2622,89.7927,0.4300,0.8400,0.0100,2.3100,2.8250,0.5700,4.7838
1cqg,44,2,64.4182,89.0438,0.5100,0.8300,0.0100,1.8100,2.2550,0.6300,6.3025
1cqg,44,3,58.2420,88.7442,0.4100,0.8400,0.0100,2.4000,3.1950,0.5500,6.8183
1cqg,44,4,72.1000,92.1968,0.5900,0.8700,0.0100,1.6000,2.0200,0.7000,3.7212
1czy,42,0,85.0748,94.9271,0.8800,0.9200,0.0300,0.8900,0.9250,0.9200,0.8897
1czy,42,1,85.2148,94.8646,0.8900,0.9200,0.0300,0.8700,0.9050,0.9200,0.6301
1czy,42,2,86.9581,94.9237,0.8900,0.9200,0.0300,0.8800,0.9150,0.9200,0.5512
1czy,42,3,86.5104,95.2505,0.8900,0.9300,0.0300,0.8500,0.8750,0.9300,0.7736
1czy,42,4,81.1741,94.7036,0.8400,0.9200,0.0300,0.9400,0.9700,0.8800,2.7604
1czy,43,0,85.3098,94.9904,0.8700,0.9200,0.0300,0.8900,0.9200,0.9100,1.1482
1czy,43,1,84.2615,94.9356,0.8900,0.9200,0.0300,0.8800,0.9200,0.9200,1.0308
1czy,43,2,87.0667,94.8392,0.9000,0.9200,0.0300,0.8800,0.9100,0.9300,0.6153
1czy,43,3,81.5965,94.6269,0.8500,0.9200,0.0300,0.9400,0.9800,0.9000,2.8458
1czy,43,4,84.6848,94.8012,0.8900,0.9200,0.0300,0.8900,0.9250,0.9200,0.7825
1czy,44,0,86.9693,95.0621,0.9000,0.9200,0.0300,0.8600,0.8850,0.9400,0.5622
1czy,44,1,87.3515,94.9676,0.9100,0.9200,0.0300,0.8500,0.8750,0.9400,0.8679
1czy,44,2,85.9993,95.0083,0.8900,0.9200,0.0300,0.8700,0.9050,0.9300,0.7959
1czy,44,3,85.1761,94.6228,0.8800,0.9200,0.0300,0.8800,0.9050,0.9200,0.7775
1czy,44,4,83.0493,94.7292,0.8700,0.9200,0.0300,0.9000,0.9300,0.9000,2.7147
1ddv,42,0,69.5487,93.4026,0.5500,0.8900,0.0200,3.7400,4.3650,0.6500,1.7609
1ddv,42,1,67.8565,93.2835,0.5500,0.8900,0.0200,3.6400,4.5150,0.6400,1.6083
1ddv,42,2,69.1522,93.4247,0.5800,0.9000,0.0200,3.4500,4.2450,0.6700,0.8471
1ddv,42,3,68.6446,93.3840,0.5400,0.8900,0.0200,3.8500,4.3600,0.6400,3.8174
1ddv,42,4,69.7413,93.5281,0.5800,0.9000,0.0200,3.4700,4.1650,0.6700,1.7092
1ddv,43,0,69.7283,93.4862,0.5600,0.8900,0.0200,3.6400,4.2250,0.6500,1.5959
1ddv,43,1,68.1641,93.2043,0.5400,0.8900,0.0200,3.7900,4.4200,0.6300,0.9584
1ddv,43,2,69.9374,93.4567,0.5700,0.8900,0.0200,3.5700,4.2100,0.6600,1.5164
1ddv,43,3,66.1815,92.8945,0.5000,0.8800,0.0200,4.0900,5.2300,0.6100,2.0780
1ddv,43,4,64.8276,92.9778,0.5100,0.8900,0.0200,4.1400,4.6850,0.6100,2.3274
1ddv,44,0,69.7085,93.2583,0.5700,0.8900,0.0200,3.6300,4.5200,0.6600,1.9781
1ddv,44,1,73.8426,93.2999,0.5700,0.8900,0.0200,3.7400,4.1050,0.6600,5.4720
1ddv,44,2,70.0472,93.6001,0.5800,0.9000,0.0200,3.4100,4.1600,0.6700,1.8235
1ddv,44,3,70.4209,93.5009,0.5900,0.9000,0.0200,3.4700,3.9100,0.6800,0.7281
1ddv,44,4,69.1611,93.2849,0.5400,0.8900,0.0200,3.8400,4.3450,0.6400,1.3366
1eg4,42,0,77.4126,94.3156,0.8400,0.9400,0.0200,1.1100,1.1250,0.8900,4.2617
1eg4,42,1,77.5028,94.4407,0.8400,0.9400,0.0200,1.0600,1.0950,0.8800,4.4646
1eg4,42,2,78.4357,94.6391,0.8600,0.9500,0.0200,1.0200,1.0650,0.9000,5.0673
1eg4,42,3,76.4570,94.4924,0.8400,0.9500,0.0200,1.0100,1.0600,0.8800,6.1367
1eg4,42,4,77.5910,94.4565,0.8500,0.9500,0.0200,1.1100,1.1750,0.8900,3.3341
1eg4,43,0,77.1511,94.4333,0.8600,0.9500,0.0200,1.0300,1.0650,0.9100,3.5343
1eg4,43,1,76.6867,94.4063,0.8300,0.9400,0.0200,1.1300,1.1750,0.8800,2.8439
1eg4,43,2,77.4402,94.2897,0.8500,0.9500,0.0200,1.0700,1.0800,0.8900,3.5361
1eg4,43,3,75.7574,94.1818,0.8300,0.9400,0.0200,1.0900,1.1550,0.8700,4.0772
1eg4,43,4,78.1337,94.7834,0.8700,0.9500,0.0200,0.9500,0.9800,0.9100,5.6375
